id_album,titulo_album,id_artista,anio
1,Dua Lipa,1,2017
2,Yours Truly,2,2013
3,My Everything,2,2014
4,Dangerous Woman,2,2016
5,Sweetener,2,2018
6,Invasion of Privacy,3,2018
7,4,4,2006
8,Fearless,4,2008
9,Speak Now,4,2010
10,Red,4,2012
11,1989,4,2014
12,Reputation,4,2017
13,Camila,5,2018
14,Thank Me Later,6,2010
15,Take Care,6,2011
16,Nothing Was The Same,6,2013
17,Views,6,2016
18,Scorpion,6,2018
19,Stoney,7,2016
20,Beerbongs & Bentleys,7,2018
21,17,8,2017
22,?,8,2018
23,Skins,8,2018
24,Real (Edicion Colombia),9,2007
25,Real (Special Edition),9,2009
26,El Negocio,9,2011
27,La Familia,9,2013
28,La Familia B Sides,9,2014
29,Energia,9,2016
30,Vibras,9,2018
31,+,10,2011
32,x,10,2014
33,%,10,2017
